KDJ,KabKot,Region,Province,Regency_Ci,District_name,sat_2019,sat_2020,gdp_2019,gdp_2020
7303,Kabupaten Bantaeng,Sulawesi,South Sulawesi,Regency,Bantaeng,692.7658841,756.1199745,5622,5651
1401,Kabupaten Kuantan Singingi,Sumatera,Riau,Regency,Kuantan Singingi,531.4528191,712.7186682,23613,23844
5309,Kabupaten Flores Timur,Nusa Tenggara,East Nusa Tenggara,Regency,Flores Timur,376.1624222,457.3393615,3494,3524
8206,Kabupaten Halmahera Timur,Maluku,North Maluku,Regency,Halmahera Timur,487.1297115,603.7006286,2300,2313
6103,Kabupaten Landak,Kalimantan,West Kalimantan,Regency,Landak,309.5127036,219.7148164,7022,6975
1373,Kota Sawah Lunto,Sumatera,West Sumatera,City,Sawahlunto,410.3767292,373.7925809,2797,2761
1203,Kabupaten Tapanuli Selatan,Sumatera,North Sumatera,Regency,Tapanuli Selatan,1059.304298,1204.10224,9684,9722
1172,Kota Sabang,Sumatera,Aceh,City,Sabang,418.9065647,368.8097935,1138,1124
1103,Kabupaten Aceh Selatan,Sumatera,Aceh,Regency,Aceh Selatan,236.1471275,376.6243523,4243,4241
9402,Kabupaten Jayawijaya,Papua,Papua,Regency,Jayawijaya,156.5493448,198.8117076,4747,4553
2104,Kabupaten Lingga,Sumatera,Riau Islands,Regency,Lingga,215.2696388,279.0716804,2935,2915
1277,Kota Padangsidimpuan,Sumatera,North Sumatera,City,Padang Sidempuan,937.2225071,734.54696,4261,4230
6308,Kabupaten Hulu Sungai Utara,Kalimantan,South Kalimantan,Regency,Hulu Sungai Utara,409.0234306,445.5562966,3326,3303
7307,Kabupaten Sinjai,Sulawesi,South Sulawesi,Regency,Sinjai,422.4745068,419.1215403,7090,7200
7373,Kota Palopo,Sulawesi,South Sulawesi,City,Palopo,770.4964522,632.5636882,5447,5472
1801,Kabupaten Lampung Barat,Sumatera,Lampung,Regency,Lampung Barat,391.0921266,363.7259811,4985,4928
7204,Kabupaten Poso,Sulawesi,Central Sulawesi,Regency,Poso,560.1466606,629.957862,6476,6224
7203,Kabupaten Morowali,Sulawesi,Central Sulawesi,Regency,Morowali,2262.127149,2179.201924,34086,43948
1223,Kabupaten Labuhan Batu Utara,Sumatera,North Sumatera,Regency,Labuhan Batu Utara,793.3915268,929.5898855,17259,17307
6110,Kabupaten Melawi,Kalimantan,West Kalimantan,Regency,Melawi,186.6529534,138.6443693,3390,3353
