KDJ;KABKOT;PROVINSI;PULAU;Region;KDJ_1;Province;Regency_Ci;acuan;Distric_Na;sat2012;sat2013;sat2014;sat2015;sat2016;sat2017;sat2018;sat2019;sat2020;gdp2012;gdp2013;gdp2014;gdp2015;gdp2016;gdp2017;gdp2018;gdp2019;gdp2020
1175;Kota Subulussalam;Aceh; ;Sumatera;1175;Aceh;City;Kota Subulussalam;Subulussalam;19.61876929;24.14218529;170.2344538;56.2101627;241.3571145;429.5310346;436.7632087;393.2477542;474.6517158;984.713;1033.528;1087.85;1142.557;1187.58;1246.12;1301.18;1366.213111;1393.127509
8203;Kabupaten Kepulauan Sula;Maluku Utara; ;Maluku;8203;North Maluku;Regency;Kepulauan Sula;Kepulauan Sula;20.12845636;46.90029043;60.82807762;79.93120077;73.5868945;132.9869729;155.2075959;151.7010159;163.0162369;1114.2;1181.7;1254.1;1327.8;1395.6;1463;1545.4;1643.572351;1650.310998
1312;Kabupaten Pasaman Barat;Sumatera Barat; ;Sumatera;1312;West Sumatera;Regency;Pasaman Barat;Pasaman Barat;20.59759322;131.2831365;164.5067108;219.649531;243.4775107;517.5350328;420.1125443;522.5903787;612.9508031;7846.457;8348.9;8853.519;9357.817;9857.619;10384.392;10928.767;11411.16918;11258.25952
1221;Kabupaten Padang Lawas;Sumatera Utara; ;Sumatera;1221;North Sumatera;Regency;Padang Lawas;Padang Lawas;21.46764126;68.52022121;91.38311909;55.21614166;70.89124466;287.996028;734.9124775;298.797994;325.0639691;5332.02;5659.61;5997.31;6341.53;6725.98;7110.25;7534.3;7958.659838;8052.572024
7322;Kabupaten Luwu Utara;Sulawesi Selatan; ;Sulawesi;7322;South Sulawesi;Regency;Luwu Utara;Luwu Utara;21.51247363;26.28350039;35.02183226;17.60724756;43.78243655;30.521856;24.06444974;25.03110778;165.1771768;4910.997;5274.161;5739.508;6122.22;6580.897;7081.166;7675.197;8220.795218;8172.292527
1105;Kabupaten Aceh Timur;Aceh; ;Sumatera;1105;Aceh;Regency;Aceh Timur;Aceh Timur;22.22733609;184.4582054;921.6938132;1003.589403;1045.647757;2161.992708;2777.165399;5957.143618;3836.269213;7677.934;7761.221;7727.472;7265.486;7175.79;7487.53;7812.64;8140.837985;8286.558985
5316;Kabupaten Sumba Tengah;Nusa Tenggara Timur; ;Nusa Tenggara;5316;East Nusa Tenggara;Regency;Sumba Tengah;Sumba Tengah;22.62389838;20.4704041;30.56298213;30.96492663;28.60943989;53.25610173;64.08066992;66.62238648;89.2683332;542.82;566.65;590.58;618.87;648.72;680.65;714.37;750.516446;756.9708874
7317;Kabupaten Luwu;Sulawesi Selatan; ;Sulawesi;7317;South Sulawesi;Regency;Luwu;Luwu;22.80286947;2.522194713;19.19514799;130.1101917;152.8994434;110.5688233;89.8414264;203.6430326;224.6693945;5915.103;6372.701;6934.03;7437.417;8023.365;8567.872;9155.576;9728.915676;9855.39158
1608;Kabupaten Ogan Komering Ulu Selatan;Sumatera Selatan; ;Sumatera;1608;South Sumatera;Regency;Ogan Komering Ulu Selatan;Ogan Komering Ulu Selatan;25.58387162;20.46198801;31.88542321;35.88656013;36.46477986;90.56321606;91.26222458;144.6387713;167.512841;4056.98;4267.95;4503.09;4707.44;4951.56;5175.05;5441.96;5710.32891;5731.457127
7605;Kabupaten Mamuju Utara;Sulawesi Barat; ;Sulawesi;7605;West Sulawesi;Regency;Mamuju Utara;Mamuju Utara;25.93465196;40.54861238;126.1537588;156.6465886;119.0581095;148.2633703;164.0975452;202.8002964;170.3786658;4395.17;4757.69;5537.9;6014.62;6257.31;6655.78;7065.93;7343.063334;7146.269236
